Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
edbe1a40807dbf4701d81df38076260f945cbee85269442ec4b6f8b2da682bd2,2019-02,Gwent Police,Gwent Police,-2.987372,51.581786,On or near LOWER DOCK STREET,W01001661,Newport 018C,Defendant found not guilty
5e6e7c64cd8584a5d7cbe095293c25d2abcb24bae71143946216939f30dfa96e,2019-02,Gwent Police,Gwent Police,-2.741969,51.797967,On or near WONASTOW ROAD,W01001575,Monmouthshire 005D,Court case unable to proceed
d9668170f8cc0d84f87f8651b6756e3f43887d4d369177cd1e2c3d9b75d243e3,2019-02,Gwent Police,Gwent Police,-3.043380,51.637670,On or near PENYLAN COURT CWRT PENYLAN,W01001492,Torfaen 012A,Defendant found not guilty
d7819ac3d49a5d9cc93d735f4c0f4d1d6ba1cdd0ac78f11e32751924056f52c4,2019-02,Gwent Police,Gwent Police,-3.204344,51.667133,On or near APOLLO WAY,W01001348,Caerphilly 009A,Offender given conditional discharge
c8c48b3ce7d029ec42d30c72611e4a0abe2b814d895c89b4f7176f0303808c8d,2019-02,Gwent Police,Gwent Police,-3.044124,51.660601,On or near ARAN COURT,W01001538,Torfaen 009D,Offender given conditional discharge
bf73cb1f14501e207b2cec019a0ca774f6e2b10d97e120ef5b4caab9d890fbce,2019-02,Gwent Police,Gwent Police,-3.017648,51.822176,On or near Theatre/Concert Hall,W01001579,Monmouthshire 001E,Court case unable to proceed
cd446fa4c6b171b4f7ecfc5c9190be90d8775a343af38d469e64b332699007c3,2019-02,Gwent Police,Gwent Police,-3.245191,51.775065,On or near Pedestrian Subway,W01001481,Blaenau Gwent 006E,Offender given conditional discharge
f782d63aed5cec0170ab00c7c578402ffb26b5ee3cc99adcd9409abfb9354c18,2019-02,Gwent Police,Gwent Police,-2.946264,51.584373,On or near BRITTEN CLOSE,W01001609,Newport 015B,Offender given community sentence
cce00333eb1128814b6a410982a5dd3eaa09adc523f59aa739249c75879411f3,2019-02,Gwent Police,Gwent Police,-2.992290,51.584290,On or near Theatre/Concert Hall,W01001687,Newport 014D,Offender sent to prison
15186448cdeb9b1f76efdf7704e6597e17610acc4cf9d7935d23714ea2dcd76b,2019-02,Gwent Police,Gwent Police,-3.002807,51.587365,On or near GODFREY ROAD,W01001603,Newport 012C,Offender sent to prison
be909466e9493e48d61d60aa008341a1b5f3dc181330a7708356a86d7db84107,2019-02,Gwent Police,Gwent Police,-2.998969,51.570323,On or near DOCKS WAY,W01001660,Newport 018B,Offender sent to prison
899baf07e0146e70a2b4bfd45595e19b839c3ed316aab7abfb68e6b4b41b7ac9,2019-02,Gwent Police,Gwent Police,-3.237060,51.717820,On or near LONG ROW,W01001385,Caerphilly 002D,Defendant found not guilty
260700ea845ae21600e59d7d0b15fc70568198b70f88c5b3a13f59eb5d1b1bc5,2019-02,Gwent Police,Gwent Police,-3.195847,51.665160,On or near Bus/Coach Station,W01001350,Caerphilly 009C,Offender fined
c1b7a374514949ab170d75da531a3b8c14c2a7cce3113b6c30a88985e19054c6,2019-02,Gwent Police,Gwent Police,-3.178583,51.653484,On or near UPLAND ROAD,W01001401,Caerphilly 011A,Offender given suspended prison sentence
61ca1d1881f12581e49299f37819eba03712b27edbbecfe043394cd58b052ba6,2019-02,Gwent Police,Gwent Police,-3.245191,51.775065,On or near Pedestrian Subway,W01001481,Blaenau Gwent 006E,Offender sent to prison
1c7ba28fc4976ab671a50b40ae03814ac55cfd70f392f8e936448cfd296ec98e,2019-02,Gwent Police,Gwent Police,-3.020578,51.533343,On or near NEVILLE PARK,W01001912,Newport 020E,Offender sent to prison
68287d882fb8e504c60d16706421d50921424495aaa2afc23c9d77422f599acf,2019-02,Gwent Police,Gwent Police,-3.045104,51.662984,On or near SYCAMORE PLACE,W01001538,Torfaen 009D,Offender given suspended prison sentence
3ed9dc3b322c31961e0411d920da8bcbc774a497fb0d9783b4e40bb153bde8d9,2019-02,Gwent Police,Gwent Police,-3.031109,51.675723,On or near OAKLANDS ROAD,W01001516,Torfaen 006C,Offender given suspended prison sentence
b539d2221fd6e1eba8d3b66cf7468b7b5b88feff41c199a268e0aaaf91c73593,2019-02,Gwent Police,Gwent Police,-3.020578,51.654388,On or near GWENT SQUARE,W01001506,Torfaen 010A,Offender given community sentence
60cb947fd4cc4038125b9b98213a59c23fe42b3e2e4c1d5c40afdc55103a743b,2019-02,Gwent Police,Gwent Police,-3.042744,51.714428,On or near COBNER CLOSE,W01001530,Torfaen 003C,Offender given conditional discharge
65f30041ed1433dec9fe0a4f0aa9e8d188e02ca3934cfb49279ebb02bfbcb8a6,2019-02,Gwent Police,Gwent Police,-2.992290,51.584290,On or near Theatre/Concert Hall,W01001687,Newport 014D,Offender given conditional discharge
1eb609b785df7c1e03c039773b6c53faf1f6e821743665f18a2a0bd260ae73d1,2019-02,Gwent Police,Gwent Police,-2.997443,51.588274,On or near Supermarket,W01001685,Newport 014B,Offender given suspended prison sentence
1c7ba28fc4976ab671a50b40ae03814ac55cfd70f392f8e936448cfd296ec98e,2019-02,Gwent Police,Gwent Police,-3.020578,51.533343,On or near NEVILLE PARK,W01001912,Newport 020E,Offender sent to prison
016ff4b3fba700b1e2e3daabe251ec0402795ecb772ad91e62b1c5afc66f91df,2019-02,Gwent Police,Gwent Police,-2.671898,51.640699,On or near STATION ROAD,W01001587,Monmouthshire 008C,Offender fined
40ac459577ab2514c15498dd6dde72874ac5fab0a3bb0a930c6f0c01bf058c1b,2019-02,Gwent Police,Gwent Police,-2.991212,51.579218,On or near FRANCIS STREET,W01001662,Newport 018D,Defendant found not guilty
12e36a96d32ab7ce29644a8031da2b6b9cd75e4dfee13f80148dd1c4221fb828,2019-02,Gwent Police,Gwent Police,-3.229162,51.690281,On or near Nightclub,W01001338,Caerphilly 004C,Court case unable to proceed
9df7f262bd967db8a136aab90df980050f1f1213eb641ac092990d47f307772e,2019-02,Gwent Police,Gwent Police,-2.989810,51.580444,On or near WEST MARKET STREET,W01001661,Newport 018C,Offender sent to prison
85bc7dc7563c3263c5194fb328b052847d2ebefa86ac16a765a301ff1115bbfa,2019-02,Gwent Police,Gwent Police,-3.010409,51.835860,On or near DAN-Y-DERI,W01001909,Monmouthshire 002F,Offender given community sentence
dabcb0f797540f8502b2742984c20187936b2d5464624bb225b7356c147a33c2,2019-02,Gwent Police,Gwent Police,-2.942418,51.687186,On or near Park/Open Space,W01001560,Monmouthshire 006C,Offender given suspended prison sentence
a3884bbc657fb3ffcb4e161a87b0f99b4b0aa58a77f60ae0af81d7018eb74201,2019-02,Gwent Police,Gwent Police,-3.229880,51.687944,On or near HANBURY SQUARE,W01001337,Caerphilly 004B,Offender sent to prison
3fb2e51dd52b93b5a6b0a567f5d705ece827ea510492f9c233fecd770e5ada86,2019-02,Gwent Police,Gwent Police,-3.135935,51.699519,On or near MEADOW STREET,W01001466,Blaenau Gwent 009C,Offender sent to prison
d935eab40736a7c800207a6c29ddfe76034b05ad457f0db92eb6b73114826512,2019-02,Gwent Police,Gwent Police,-3.144391,51.665332,On or near VICTORIA TERRACE,W01001382,Caerphilly 010C,Offender fined
cac3b93188b906fb6914201972ddbf48b1a1212a25e25f328f3dc465f47ee393,2019-02,Gwent Police,Gwent Police,-3.059986,51.591889,On or near Supermarket,W01001672,Newport 009C,Offender given community sentence
adb568e6eded5b3b649b515865620ff890ba54c3632b17cd431b00ed6322a15a,2019-02,Gwent Police,Gwent Police,-3.244746,51.657153,On or near SOUTH ROAD,W01001418,Caerphilly 008E,Offender given conditional discharge
0eafc0f55e89a64b56832279458cf1b3cd5e781023f5c3cb8aa7a178724eec66,2019-02,Gwent Police,Gwent Police,-3.144257,51.616382,On or near ISLWYN ROAD,W01001430,Caerphilly 015B,Offender given community sentence
79ed621490166077c36c38906119799563c4901fb6d5aaf97b14066d669626fc,2019-02,Gwent Police,Gwent Police,-3.237433,51.591429,On or near PENTWYN,W01001400,Caerphilly 019F,Offender sent to prison
1ad12a5fab3fef4b8f05061a3f510e5df7684ea3262f27ba298fbfec0afa66c9,2019-02,Gwent Police,Gwent Police,-3.083003,51.771573,On or near NEW WILLIAM STREET,W01001490,Torfaen 001D,Defendant found not guilty
1b7f8e9f2f9b3647acd850d3e3ba933c27c5b0c3fcbc33321e1e8a6b88694576,2019-02,Gwent Police,Gwent Police,-2.752121,51.590373,On or near Parking Area,W01001589,Monmouthshire 010E,Offender fined
708c1d383787d8cb0d9d47f2d1b61dc13409f3b7ec5215147416648a0a2afce3,2019-02,Gwent Police,Gwent Police,-3.234677,51.692012,On or near CLOS CAE MAWR,W01001338,Caerphilly 004C,Offender given community sentence
8592d08d90ce35f120f02e6d6ce7eb065658f9bc4faa40e3f12b73dfd7a3be6b,2019-02,Gwent Police,Gwent Police,-3.028935,51.613628,On or near ITCHEN CLOSE,W01001621,Newport 003E,Offender given community sentence
db19a26f8f2d1494f334876609d627618d5f09202ecc08085723c00b94893ece,2019-02,Gwent Police,Gwent Police,-3.224032,51.649215,On or near BRYNAVON TERRACE,W01001365,Caerphilly 012C,Offender sent to prison
8364ddccd2bc698076f2d337c1c208ef1de20f03fecf1f3f461a9bf8a859e26d,2019-02,Gwent Police,Gwent Police,-2.994487,51.587085,On or near Supermarket,W01001687,Newport 014D,Offender given suspended prison sentence
70d4e9c8af2459325cd8b7ffee3a1b7410d6d80fb732bab957726aae558560e1,2019-02,Gwent Police,Gwent Police,-3.007640,51.645922,On or near LLAN-YR-AVON SQUARE,W01001507,Torfaen 008D,Offender given suspended prison sentence
5c7f466eea8e589b2a1222f9110ff57c67b2bb359115d3853288e3b78bd99dda,2019-02,Gwent Police,Gwent Police,-2.994487,51.587085,On or near Supermarket,W01001687,Newport 014D,Offender given community sentence
