Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c83c1c86bf20c520acdda585b5704eb674ca5595dbabf4a530c6679678fce29a,2019-02,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
23e0a05fdc6011ba74a674461c912d9e40daef430f40e8ffc92135786a6bbf52,2019-02,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
0376e931728dcb131b308c255135998845c1deafe81b21ebd46b40b10a4d1182,2019-02,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
a94552a10497c95f5338ae7554ae3843a8bd5166b164649478b8a5cb291c8ec5,2019-02,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
ba9f285dfec85e5ed0c57f541f9b4101c5da7ced6c2065676c8e4103547f7cfd,2019-02,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
1ac40914c3a21ed89ef10066a01ac0da5a9f613a031fd946cf97b76159925612,2019-02,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
76d1ab254dd537abcde1c28d3c35443092d90d8954a9ed8747db3c98005af1f1,2019-02,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
77cba01c32f2c1af1bb259524d3aed9f7c5b5225b4721e87d4aa5b5946d83dfe,2019-02,Kent Police,Kent Police,,,No location,,,Action to be taken by another organisation
396d586d4fb4e8bf43a457414928b31313745ac08063082308735698582ac176,2019-02,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
ce49bc0513af2c8b65bf0e137dff68d446e590e963115e8fe708edb0edfb133a,2019-02,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
db8b0b85afad54b0c6c1565cd81366374fc2abb893a2e822b90d0e2ad2619bc1,2019-02,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
550d9ebb016085a4ca7a25d0e5a58782af0a26817f33bb8ddc0fd1bbdeda2da0,2019-02,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
8a1e51c911468831edf310af78f1aebeb7ca97f6dd4c4a64a20244d54c376e1d,2019-02,Kent Police,Kent Police,0.757697,51.439847,On or near SHORT STREET,E01024614,Swale 002B,Offender given a caution
2487d8714b57cca0b1947dbb693902fb957f9188816d3822647b4389e3f7123b,2019-02,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
