Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
017f68f2c310f7ab4d310b13d86889546313bed30280b69c5f99515ead5753e0,2019-03,Cheshire Constabulary,Cheshire Constabulary,-2.641420,53.400644,On or near BOSTON BOULEVARD,E01012568,Warrington 009D,Court case unable to proceed
3a1d04540a90026ad098a251d8118dbe9c173d9ed7120342e0db131e4fa656b9,2019-03,Cheshire Constabulary,Cheshire Constabulary,-2.895366,53.187848,On or near BLACK FRIARS,E01018326,Cheshire West and Chester 034A,Offender given community sentence
73a38887b44c8a18914d84f3e3bd16cf0fba767032842f7fe32ac93a9516dd02,2019-03,Cheshire Constabulary,Cheshire Constabulary,-2.440733,53.101325,On or near Parking Area,E01018463,Cheshire East 035A,Offender given community sentence
af3d0a86e9f79ef62216bae19b1311d65aeb349f5bffb8828116ac2296775cb6,2019-03,Cheshire Constabulary,Cheshire Constabulary,-2.463887,53.107179,On or near SMITH GROVE,E01018484,Cheshire East 037C,Offender given conditional discharge
c3a69fb570ef9b22804c8c7e5b97acf0ec687ed37b93596541acd624c686d181,2019-03,Cheshire Constabulary,Cheshire Constabulary,-2.427171,53.095235,On or near GRANGE CLOSE,E01018501,Cheshire East 038C,Offender fined
bea1ab707306cf9de04798ac7043edddfdcf7e163539b333dd12a2f0c27b07cc,2019-03,Cheshire Constabulary,Cheshire Constabulary,-2.742294,53.340957,On or near DUKE CLOSE,E01012428,Halton 012C,Offender given community sentence
31e45ed581db39aa80c51b7febd59335d246e150ae49dfae91e63939ae247345,2019-03,Cheshire Constabulary,Cheshire Constabulary,-2.125861,53.263228,On or near BEECH LANE,E01018624,Cheshire East 018C,Offender given community sentence
b0ca063ddf6ec482fcf996ba07ac3c0f52cb460e42ec26162f0dd56de8e92fe8,2019-03,Cheshire Constabulary,Cheshire Constabulary,-2.445369,53.192825,On or near THE BULL RING,E01018426,Cheshire East 024C,Defendant found not guilty
a1c32d6fde3c1783e7bddab5a65431c52a1cdc4d486ca528acd6c686f3520e57,2019-03,Cheshire Constabulary,Cheshire Constabulary,-2.489486,53.257930,On or near STANLEY STREET,E01018715,Cheshire West and Chester 018C,Offender sent to prison
e677d9925529db345eab98762953f1ef43f15080d24e2a04ff76e53d1a06e5af,2019-03,Cheshire Constabulary,Cheshire Constabulary,-2.526442,53.191263,On or near Parking Area,E01018732,Cheshire West and Chester 038A,Offender sent to prison
e4cdb28e11afa522466006e8462009eb45f7787ae10c6beb24fae0a3c0fe3a25,2019-03,Cheshire Constabulary,Cheshire Constabulary,-2.898087,53.280046,On or near EXETER ROAD,E01018520,Cheshire West and Chester 007B,Offender sent to prison
2ae5c451f0aaca2648853061211227724575a117f9fa2983886251e1c089ba18,2019-03,Cheshire Constabulary,Cheshire Constabulary,-2.506423,53.264106,On or near OAK STREET,E01018714,Cheshire West and Chester 018B,Offender given community sentence
e52804194143de3cac99c5702d952c83ec71dec63dbd9be720a741f7a0fcc05b,2019-03,Cheshire Constabulary,Cheshire Constabulary,-2.513997,53.256856,On or near QUEEN STREET,E01018714,Cheshire West and Chester 018B,Offender fined
7bc0dbf7028f007426583d03bf710628f55665cc351c910032d08ce1d45d8b2f,2019-03,Cheshire Constabulary,Cheshire Constabulary,-2.126284,53.259417,On or near Supermarket,E01018624,Cheshire East 018C,Offender given community sentence
1d6df2ddab4b0f6062eab99c74c4aef3bccab5d49cf8ff1d1156790550c7ade6,2019-03,Cheshire Constabulary,Cheshire Constabulary,-2.518160,53.071601,On or near ALBERT STREET,E01018454,Cheshire East 047B,Defendant found not guilty
0724cb9930b27e89c6b5e97bf6c82df49382b245a53d6ac9576e6a2b64c93361,2019-03,Cheshire Constabulary,Cheshire Constabulary,-2.934575,53.200149,On or near NEVIN ROAD,E01018314,Cheshire West and Chester 031B,Offender sent to prison
2ee6c9c10eac83cedb96f4e28d4949f46f8b7403297ce0efb7d28573e281de9b,2019-03,Cheshire Constabulary,Cheshire Constabulary,-2.891066,53.195574,On or near Pedestrian Subway,E01018327,Cheshire West and Chester 033B,Court case unable to proceed
a9339fafa3e26bd1896b53e5cda2dccebef7f27ed01e23b89244c27f4be63063,2019-03,Cheshire Constabulary,Cheshire Constabulary,-2.926251,53.223730,On or near OVERWOOD AVENUE,E01018360,Cheshire West and Chester 025A,Defendant found not guilty
d3b64c1eac37ee8923b4e371090e93a12a111728c7c09a8a7647b9afa3ec23ee,2019-03,Cheshire Constabulary,Cheshire Constabulary,-2.896745,53.271814,On or near THE OVAL,E01018521,Cheshire West and Chester 011A,Offender fined
09e974b492f1917a55c71668b025f54eaa36e11351ab2909d3ea7b2e9af7e942,2019-03,Cheshire Constabulary,Cheshire Constabulary,-2.928375,53.273432,On or near BRACKEN ROAD,E01018557,Cheshire West and Chester 013B,Offender given conditional discharge
beef7cd54fb1c411d881f1e029b6bc9d97f385db0b3c0d104ae82743c1747913,2019-03,Cheshire Constabulary,Cheshire Constabulary,-2.511717,53.256740,On or near WATERBANK ROW,E01018714,Cheshire West and Chester 018B,Defendant found not guilty
af98182f03ee252e4fb47ac89dad3c363737b9868f85097216c0b7d06012e3c2,2019-03,Cheshire Constabulary,Cheshire Constabulary,-2.590507,53.399441,On or near LONGFORD STREET,E01033303,Warrington 017G,Defendant found not guilty
2a891e679f6209035c61a87bd3836425d4f9445469fbf294aa1bdb973075b658,2019-03,Cheshire Constabulary,Cheshire Constabulary,-2.643275,53.400993,On or near UNION SQUARE,E01012569,Warrington 010E,Offender given community sentence
749902bc92812324c1838fc7a9de5e2a45d41fd30bc14330ad84bdb3aef21f50,2019-03,Cheshire Constabulary,Cheshire Constabulary,-2.902071,53.209928,On or near Sports/Recreation Area,E01018374,Cheshire West and Chester 028C,Court case unable to proceed
4faa8f5f14109a7133d8c9c21109da8a7731de1ef7f5fa7dbdd973df85c4680d,2019-03,Cheshire Constabulary,Cheshire Constabulary,-2.586167,53.396649,On or near WINIFRED STREET,E01012483,Warrington 018C,Offender given suspended prison sentence
59400e109e1f921d1a0d580936d27c68fbe158254c8b1f556098402bc5c17dfb,2019-03,Cheshire Constabulary,Cheshire Constabulary,-2.665200,53.108094,On or near SOUTH CROFT,E01018481,Cheshire East 051D,Defendant found not guilty
a62852243c6208d5fd7e07c01a6d321ab25eadce1c4ff604e65b890c02f47e6b,2019-03,Cheshire Constabulary,Cheshire Constabulary,-2.588312,53.379866,On or near RIVER ROAD,E01012510,Warrington 017D,Offender given suspended prison sentence
715cb726dde2cbb46ca7e70230fb75292a0a84930487a0d5c6ec56f3b79b2b8f,2019-03,Cheshire Constabulary,Cheshire Constabulary,-2.125805,53.244163,On or near Supermarket,E01018638,Cheshire East 021B,Offender given conditional discharge
4856ac219b63d7a8a06b79480feeab57b6c0b6ba8a0f8b06fce06301fbec2fbb,2019-03,Cheshire Constabulary,Cheshire Constabulary,-2.668054,53.318861,On or near COMPASS CLOSE,E01012438,Halton 014D,Offender sent to prison
22036616c2a21985abd9afa88c94ca3c251c70c68d9a212fe832af411c3a3ee4,2019-03,Cheshire Constabulary,Cheshire Constabulary,-2.610044,53.392080,On or near ROBERT STREET,E01033302,Warrington 018G,Offender fined
434846be60c12323983474453f5757bff51a7c87f7698f16ee3cb1f78153be5f,2019-03,Cheshire Constabulary,Cheshire Constabulary,-2.892761,53.190672,On or near GOSS STREET,E01018326,Cheshire West and Chester 034A,Defendant found not guilty
